Sample_seq_ID,Sample_source,Collection_date,Animal_ID,Age_category,Body_length_mm,Body_mass_g,Trapping_site,Reproduction_information,Sex,Epigenetic_age_days_Clock2
96-3_73,Skokholm,01/10/2019,SK0046,NA,NA,NA,Observatory,NA,Male,26.20127435
96-3_74,Skokholm,16/04/2021,SK0325,Adult,86.2,21.5,Observatory,Imperforate,Female,331.3162964
96-3_75,Skokholm,02/05/2019,SK0015,Sub-adult,NA,16.7,Quarry,Imperforate,Male,324.5134276
96-3_76,Skokholm,01/10/2019,SK0177,Juvenile,73,10.7,Observatory,Imperforate,Female,134.7405775
96-3_77,Skokholm,30/09/2019,SK0162,Juvenile,79.4,11.7,Observatory,Imperforate,Female,164.4033455
96-3_79,Skokholm,19/09/2019,SK0062,Juvenile,70.4,12.8,Quarry,Testes abdominal,Male,118.090065
96-3_8,Skokholm,01/10/2019,SK0043,NA,NA,NA,Observatory,NA,Female,193.4203112
96-3_81,Skokholm,19/07/2019,SK0051,Juvenile,NA,9.1,Quarry,Testes abdominal,Male?,240.106068
96-3_82,Skokholm,19/04/2021,SK0309,Sub-adult,85,18.3,Quarry,Imperforate,Female,280.1600469
96-3_85,Skokholm,15/04/2021,SK0322,Adult,88.6,22.6,Observatory,Imperforate,Female,296.0983895
96-3_86,Skokholm,22/09/2019,SK0010,Adult,99.5,43,Observatory,"Pregnant, Imperforate",Female,381.4591265
96-3_87,Skokholm,13/07/2019,SK0031,Adult,NA,23,Quarry,Imperforate,Female,309.3104519
96-3_89,Skokholm,23/04/2021,SK0344,Adult,90.8,22.9,Observatory,Imperforate,Female,312.2370418
96-3_9,Skokholm,25/04/2021,SK0346,Juvenile,78.5,14.3,Observatory,Imperforate,Female,117.9803766
96-3_90,Skokholm,20/04/2021,SK0338,Sub-adult,82.8,17.2,Quarry,Imperforate,Female,251.3736529
96-3_91,Skokholm,24/04/2021,SK0321,Adult,94.3,24.6,Observatory,Testes large,Male,219.9100077
96-3_92,Skokholm,30/04/2019,SK0003,Adult,NA,25,Observatory,Testes abdominal,Female,291.737438
96-3_93,Skokholm,23/09/2019,SK0039,Adult,94.6,27.3,Observatory,"Imperforate, Pregnant?",Female,175.4510386
96-3_94,Skokholm,25/04/2021,SK0293,Adult,86.6,20.6,Observatory,Perforate,Female,272.1510004
